Word,Confusions
चौटा,"चोटा, चौथा"
चौथा,"चोटा, चौटा"
चोटालो,चोथालो
चोथालो,चोटालो
चोटि,चोटी
चोटी,चोटि
चोटे,छोटे
छोटे,चोटे
चोटो,"चौटो, छोटो"
चौटो,चोटो
छोटो,चोटो
चोथो,चौथो
चौथो,चोथो
चोट्टा,छोट्टा
छोट्टा,चोट्टा
चोतो,चौठो
चौठो,चोतो
चोथाइ,चौथाइ
चौथाइ,चोथाइ
चोथिनु,"चौटिनु, छोटिनु"
चौटिनु,"चोथिनु, छोटिनु"
छोटिनु,"चोथिनु, चौटिनु"
चोप,छोप
छोप,चोप
चोपचाप,छोपछाप
छोपछाप,चोपचाप
चोपाइ,"चौपाई, छोपाइ"
चौपाई,"चोपाइ, छोपाइ"
छोपाइ,"चोपाइ, चौपाई"
चोपाउनु,छोपाउनु
छोपाउनु,चोपाउनु
चोपिनु,छोपिनु
छोपिनु,चोपिनु
चोप्नु,छोप्नु
छोप्नु,चोप्नु
चोब,छोभ
छोभ,चोब
चोबलचाबल,चोभलचाभल
चोभलचाभल,चोबलचाबल
चोबलाइ,चोभलाइ
चोभलाइ,चोबलाइ
चोबलाउनु,चोभलाउनु
चोभलाउनु,चोबलाउनु
चोबलिनु,चोभलिनु
चोभलिनु,चोबलिनु
चोबल्नु,चोभल्नु
चोभल्नु,चोबल्नु
चोबा,"चोवा, छोवा"
चोवा,"चोबा, छोवा"
छोवा,"चोबा, चोवा"
चोबाइ,चोभाइ
चोभाइ,चोबाइ
चोबाउनु,चोभाउनु
चोभाउनु,चोबाउनु
चोबिनु,चोभिनु
चोभिनु,चोबिनु
चोब्नु,चोभ्नु
चोभ्नु,चोब्नु
चोयो,छोयो
छोयो,चोयो
चोला,छोला
छोला,चोला
चोले,छोले
छोले,चोले
चोलो,चौलो
चौलो,चोलो
चोसे,छोसे
छोसे,चोसे
चौँठाचौँठी,छौँडाछौँडी
छौँडाछौँडी,चौँठाचौँठी
चौँतीस,चौँतिस
चौँतिस,चौँतीस
चौँतिसौँ,चौँतीसौँ
चौँतीसौँ,चौँतिसौँ
चौकडा,छोकडा
छोकडा,चौकडा
चौकडी,छोकडी
छोकडी,चौकडी
चौखण्ड,चौखन्ड
चौखन्ड,चौखण्ड
चौगडा,चौघडा
चौघडा,चौगडा
चौगोडी,चौघोडी
चौघोडी,चौगोडी
चौट्याइ,छोट्याइ
छोट्याइ,चौट्याइ
चौट्याउनु,छोट्याउनु
छोट्याउनु,चौट्याउनु
चौडन्डी,"चौदन्डी, चौदण्डी"
चौदन्डी,"चौडन्डी, चौदण्डी"
चौदण्डी,"चौडन्डी, चौदन्डी"
चौडा,"चौतह, छउडा, छोडा"
चौतह,"चौडा, छउडा, छोडा"
छउडा,"चौडा, छोडा"
छोडा,"चौडा, छउडा"
चौडाइ,छोडाइ
छोडाइ,चौडाइ
चौडिनु,छोडिनु
छोडिनु,चौडिनु
चौतिस,चौतीस
चौतीस,चौतिस
चौतिसौँ,चौतीसौँ
चौतीसौँ,चौतिसौँ
चौपट,चौपथ
चौपथ,चौपट
चौपाडी,चौपाती
चौपाती,चौपाडी
चौपाल,चौफाल
चौफाल,चौपाल
चौबिस,चौबीस
चौबीस,चौबिस
चौबिसी,चौबीसी
चौबीसी,चौबिसी
चौबिसे,चौबीसे
चौबीसे,चौबिसे
चौबिसौँ,चौबीसौँ
चौबीसौँ,चौबिसौँ
चौरासिऔँ,चौरासीऔँ
चौरासीऔँ,चौरासिऔँ
चौरासियौँ,चौरासीयौँ
चौरासीयौँ,चौरासियौँ
चौलाई,छोलाइ
छोलाइ,चौलाई
चौवास,चौबास
चौबास,चौवास
चौशाला,चौसाला
चौसाला,चौशाला
चौहत्ती,चौहद्दी
चौहद्दी,चौहत्ती
च्याइँ,छ्याइँ
छ्याइँ,च्याइँ
च्याउनु,छ्याउनु
छ्याउनु,च्याउनु
च्याङच्याङ,छ्याङछ्याङ
छ्याङछ्याङ,च्याङच्याङ
च्याङ्लो,छ्याङ्लो
छ्याङ्लो,च्याङ्लो
च्याटच्याट,छ्याटछ्याट
छ्याटछ्याट,च्याटच्याट
च्याटच्याटी,छ्याटछ्याटी
छ्याटछ्याटी,च्याटच्याटी
च्याटच्याट्ती,छ्याटछ्याट्ती
छ्याटछ्याट्ती,च्याटच्याट्ती
च्याट्ट,छ्याट्ट
छ्याट्ट,च्याट्ट
च्याठ्नु,च्यात्नु
च्यात्नु,च्याठ्नु
च्यातच्याती,छ्यातछ्याती
छ्यातछ्याती,च्यातच्याती
च्यान,"छ्याङ, छ्यान"
छ्याङ,"च्यान, छ्यान"
छ्यान,"च्यान, छ्याङ"
च्याप,छ्याप
छ्याप,च्याप
च्यापच्याप,छ्यापछ्याप
छ्यापछ्याप,च्यापच्याप
च्यापच्यापी,छ्यापछ्यापी
छ्यापछ्यापी,च्यापच्यापी
च्यापच्याप्ती,छ्यापछ्याप्ती
छ्यापछ्याप्ती,च्यापच्याप्ती
च्यापिनु,छ्यापिनु
छ्यापिनु,च्यापिनु
च्याप्नु,छ्याप्नु
छ्याप्नु,च्याप्नु
च्याप्प,छ्याप्प
छ्याप्प,च्याप्प
च्याप्पच्याप्प,छ्याप्पछ्याप्प
छ्याप्पछ्याप्प,च्याप्पच्याप्प
च्यामच्याम,छ्यामछ्याम
छ्यामछ्याम,च्यामच्याम
च्यामा,छ्यामा
छ्यामा,च्यामा
च्याम्म,छ्याम्म
छ्याम्म,च्याम्म
च्यारच्यार,छ्यारछ्यार
छ्यारछ्यार,च्यारच्यार
च्यार्र,छ्यार्र
छ्यार्र,च्यार्र
च्यालच्याल,छ्यालछ्याल
छ्यालछ्याल,च्यालच्याल
च्यालब्याल,छ्यालब्याल
छ्यालब्याल,च्यालब्याल
च्याल्ल,छ्याल्ल
छ्याल्ल,च्याल्ल
च्यासच्यास,छ्यासछ्यास
छ्यासछ्यास,च्यासच्यास
च्यासच्यासी,छ्यासछ्यासी
छ्यासछ्यासी,च्यासच्यासी
च्यासच्यास्ती,छ्यासछ्यास्ती
छ्यासछ्यास्ती,च्यासच्यास्ती
च्यास्स,छ्यास्स
छ्यास्स,च्यास्स
च्युँ,छ्युँ
छ्युँ,च्युँ
च्युली,च्यूली
च्यूली,च्युली
च्युलो,च्यूलो
च्यूलो,च्युलो
च्यो,छ्यो
छ्यो,च्यो
च्वाँक,छ्वाँक
छ्वाँक,च्वाँक
च्वाइँ,छ्वाइँ
छ्वाइँ,च्वाइँ
च्वाउनु,छ्वाउनु
छ्वाउनु,च्वाउनु
च्वाकच्वाक,छ्वाकछ्वाक
छ्वाकछ्वाक,च्वाकच्वाक
च्वाकच्वाकी,छ्वाकछ्वाकी
छ्वाकछ्वाकी,च्वाकच्वाकी
च्वाक्क,छ्वाक्क
छ्वाक्क,च्वाक्क
च्वाटच्वाट,छ्वाटछ्वाट
छ्वाटछ्वाट,च्वाटच्वाट
च्वाटच्वाटी,छ्वाटछ्वाटी
छ्वाटछ्वाटी,च्वाटच्वाटी
च्वाट्ट,छ्वाट्ट
छ्वाट्ट,च्वाट्ट
च्वात्त,छ्वात्त
छ्वात्त,च्वात्त
च्वाप्प,छ्वाप्प
छ्वाप्प,च्वाप्प
च्वाम्म,छ्वाम्म
छ्वाम्म,च्वाम्म
च्वाम्ल्याङ्ङ,छ्वाम्ल्याङ्ङ
छ्वाम्ल्याङ्ङ,च्वाम्ल्याङ्ङ
च्वारच्वार,छ्वारछ्वार
छ्वारछ्वार,च्वारच्वार
च्वारच्वारी,छ्वारछ्वारी
छ्वारछ्वारी,च्वारच्वारी
च्वारच्वार्ती,छ्वारछ्वार्ती
छ्वारछ्वार्ती,च्वारच्वार्ती
च्वार्र,छ्वार्र
छ्वार्र,च्वार्र
च्वाली,छ्वाली
छ्वाली,च्वाली
च्वासच्वास,छ्वासछ्वास
छ्वासछ्वास,च्वासच्वास
च्वासच्वासी,छ्वासछ्वासी
छ्वासछ्वासी,च्वासच्वासी
च्वासच्वास्ती,छ्वासछ्वास्ती
छ्वासछ्वास्ती,च्वासच्वास्ती
च्वास्स,छ्वास्स
छ्वास्स,च्वास्स
छउँडा,छौँडा
छौँडा,छउँडा
छङछङ,छनछन
छनछन,छङछङ
छङछङाउनु,छनछनाउनु
छनछनाउनु,छङछङाउनु
छठ,"छड, छत, छद"
छड,"छठ, छत, छद"
छत,"छठ, छड, छद"
छद,"छठ, छड, छत"
छडोल,छडउल
छडउल,छडोल
छडी,छती
छती,छडी
छत्तिस,छत्तीस
छत्तीस,छत्तिस
छत्तिसा,छत्तीसा
छत्तीसा,छत्तिसा
छत्तिसे,छत्तीसे
छत्तीसे,छत्तिसे
छत्तिसौँ,छत्तीसौँ
छत्तीसौँ,छत्तिसौँ
छत्रदार,छत्रधार
छत्रधार,छत्रदार
छद्मभेष,छद्मवेश
छद्मवेश,छद्मभेष
छनोट,छनौट
छनौट,छनोट
छन्चरबार,छन्चरवार
छन्चरवार,छन्चरबार
छब्बिस,छब्बीस
छब्बीस,छब्बिस
छब्बिसौँ,छब्बीसौँ
छब्बीसौँ,छब्बिसौँ
छयालिस,छयालीस
छयालीस,छयालिस
छयालिसौँ,छयालीसौँ
छयालीसौँ,छयालिसौँ
छयासिऔँ,छयासीऔँ
छयासीऔँ,छयासिऔँ
छयासियौँ,छयासीयौँ
छयासीयौँ,छयासियौँ
छहारी,छाहरी
छाहरी,छहारी
छाँचुर,छाँछुर
छाँछुर,छाँचुर
छाइ,छाई
छाई,छाइ
छाडन,छादन
छादन,छाडन
छाडिनु,छादिनु
छादिनु,छाडिनु
छानु,चानु
चानु,छानु
छाब्दीवराह,छाब्दीबराह
छाब्दीबराह,छाब्दीवराह
छाभा,छावा
छावा,छाभा
छिटपुट,छिटफुट
छिटफुट,छिटपुट
छुइ,छुई
छुई,छुइ
छुइघर,छुईघर
छुईघर,छुइघर
छुकुम,छुखुम
छुखुम,छुकुम
छुटपुट,छुटफुट
छुटफुट,छुटपुट
छुतछात,छूतछात
छूतछात,छुतछात
छुताछुत,छूताछूत
छूताछूत,छुताछुत
छुवाछुत,छुवाछूत
छुवाछूत,छुवाछुत
छेड्डु,छेद्दु
छेद्दु,छेड्डु
छोइपासो,छोइफासो
छोइफासो,छोइपासो
छ्योलो,छ्यौलो
छ्यौलो,छ्योलो
चटपटाइनु,छटपटाइनु
छटपटाइनु,चटपटाइनु
चड्काइनु,छड्काइनु
छड्काइनु,चड्काइनु
चढाइनु,छदाइनु
छदाइनु,चढाइनु
चप्काइनु,छप्काइनु
छप्काइनु,चप्काइनु
चमचमाइनु,छमछमाइनु
छमछमाइनु,चमचमाइनु
चम्काइनु,छम्काइनु
छम्काइनु,चम्काइनु
चराइनु,छराइनु
छराइनु,चराइनु
चर्काइनु,छर्काइनु
छर्काइनु,चर्काइनु
चसाइनु,छसाइनु
छसाइनु,चसाइनु
चाबो,चाभो
चाभो,चाबो
चिढाइनु,चिताइनु
चिताइनु,चिढाइनु
चिराइनु,छिराइनु
छिराइनु,चिराइनु
चिलाइनु,छिलाइनु
छिलाइनु,चिलाइनु
चिल्ल्याइनु,छिल्ल्याइनु
छिल्ल्याइनु,चिल्ल्याइनु
चुटाइनु,छुटाइनु
छुटाइनु,चुटाइनु
चुलबुलाइनु,छुलबुलाइनु
छुलबुलाइनु,चुलबुलाइनु
छेडाइनु,"चेताइनु, छेदाइनु"
चेताइनु,"छेडाइनु, छेदाइनु"
छेदाइनु,"चेताइनु, छेडाइनु"
चोक्रयाइलो,छोक्रयाइलो
छोक्रयाइलो,चोक्रयाइलो
चोपाइनु,छोपाइनु
छोपाइनु,चोपाइनु
चोबाइनु,चोभाइनु
चोभाइनु,चोबाइनु
जँगार,जँघार
जँघार,जँगार
जँगेलो,जँघेलो
जँघेलो,जँगेलो
जइ,जई
जई,जइ
जउ,"जो, जौ, झउ, झो"
जो,"जउ, जौ, झउ, झो"
जौ,"जउ, जो, झउ, झो"
झउ,"जउ, जो, जौ, झो"
झो,"जउ, जो, जौ, झउ"
जउँडो,जौँडो
जौँडो,जउँडो
जउल्या,"जोल्या, झउल्या"
जोल्या,"जउल्या, झउल्या"
झउल्या,"जउल्या, जोल्या"
जक,झक
झक,जक
जकडबन्द,जखडबन्द
जखडबन्द,जकडबन्द
जकाइ,"जखाइ, झकाइ"
जखाइ,"जकाइ, झकाइ"
झकाइ,"जकाइ, जखाइ"
जकाउनु,झकाउनु
झकाउनु,जकाउनु
जकार,झकार
झकार,जकार
जक्खड,झक्कड
झक्कड,जक्खड
जक्खु,झक्कु
झक्कु,जक्खु
जखङ,जखन
जखन,जखङ
जगटा,झगटा
झगटा,जगटा
जगडी,जगती
जगती,जगडी
जगण,जघन
जघन,जगण
जगह,जगा
जगा,जगह
जङ,जन
जन,जङ
जङ्को,झन्को
झन्को,जङ्को
जट्ट,झट्ट
झट्ट,जट्ट
जठर,जतर
जतर,जठर
जड,झड
झड,जड
जडङ्ग,झडङ्ग
झडङ्ग,जडङ्ग
जडन,"जतन, झडङ, जडहन"
जतन,"जडन, झडङ"
झडङ,"जडन, जतन"
जडहन,"जडन, जडान"
जडान,जडहन
जडा,"जता, झडा"
जता,"जडा, झडा"
झडा,"जडा, जता"
जडाइ,जताइ
जताइ,जडाइ
जडाउनु,"जताउनु, झडाउनु"
जताउनु,"जडाउनु, झडाउनु"
झडाउनु,"जडाउनु, जताउनु"
जडिनु,जतिनु
जतिनु,जडिनु
जडी,"जति, जदि, झडी"
जति,"जडी, जदि, झडी"
जदि,"जडी, जति, झडी"
झडी,"जडी, जति, जदि"
जडो,जदौ
जदौ,जडो
जड्कनु,झड्कनु
झड्कनु,जड्कनु
जड्नु,झड्नु
झड्नु,जड्नु
जत्तो,झत्तो
झत्तो,जत्तो
जथबातथबा,जथवातथवा
जथवातथवा,जथबातथबा
जनक,झनक
झनक,जनक
जनन,झनन
झनन,जनन
जननी,जननि
जननि,जननी
जनमबार,जनमवार
जनमवार,जनमबार
जनही,"जनै, झनै"
जनै,"जनही, झनै"
झनै,"जनही, जनै"
जनाइ,झनाइ
झनाइ,जनाइ
जनाइनु,झनाइनु
झनाइनु,जनाइनु
जनाउनु,झनाउनु
झनाउनु,जनाउनु
जनाबर,जनावर
जनावर,जनाबर
जनि,जनी
जनी,जनि
जन्ड,जन्त
जन्त,जन्ड
जन्ती,झन्डी
झन्डी,जन्ती
जन्ते,झन्डे
झन्डे,जन्ते
जन्नी,झन्नी
झन्नी,जन्नी
जन्मान्त,जन्मान्ध
जन्मान्ध,जन्मान्त
जपत,जफत
जफत,जपत
जपन,झपन
झपन,जपन
जपना,झपना
झपना,जपना
जप्नु,झप्नु
झप्नु,जप्नु
जबला,झबला
झबला,जबला
जबाखार,जवाखार
जवाखार,जबाखार
जबान,जवान
जवान,जबान
जबानी,जवानी
जवानी,जबानी
जबाफ,जवाफ
जवाफ,जबाफ
जबाफतलबी,जवाफतलवी
जवाफतलवी,जबाफतलबी
जबाफदेह,जवाफदेह
जवाफदेह,जबाफदेह
जबाफदेही,जवाफदेही
जवाफदेही,जबाफदेही
जबाफी,जवाफी
जवाफी,जबाफी
जबाब,जवाव
जवाव,जबाब
जमजम,झमझम
झमझम,जमजम
जमजमाइ,झमझमाइ
झमझमाइ,जमजमाइ
जमजमाउनु,झमझमाउनु
झमझमाउनु,जमजमाउनु
जमजमाहट,झमझमाहट
झमझमाहट,जमजमाहट
जमाउनु,झमाउनु
झमाउनु,जमाउनु
जम्कनु,झम्कनु
झम्कनु,जम्कनु
जम्काइ,झम्काइ
झम्काइ,जम्काइ
जम्काउनु,झम्काउनु
झम्काउनु,जम्काउनु
जम्को,झम्को
झम्को,जम्को
जम्जमाउनु,झम्झमाउनु
झम्झमाउनु,जम्जमाउनु
जम्पर,"जम्फर, झम्पर, झम्फर"
जम्फर,"जम्पर, झम्पर, झम्फर"
झम्पर,"जम्पर, जम्फर, झम्फर"
झम्फर,"जम्पर, जम्फर, झम्पर"
जम्बु,जम्बू
जम्बू,जम्बु
जर,झर
झर,जर
जरक्क,झरक्क
झरक्क,जरक्क
जरजर्ती,झरझर्ती
झरझर्ती,जरजर्ती
जरण,झरन
झरन,जरण
जरफर,झरफर
झरफर,जरफर
जरर्र,झरर्र
झरर्र,जरर्र
जरल,झरल
झरल,जरल
जरह,जरा
जरा,जरह
जराली,झराली
झराली,जराली
जरिलो,झरिलो
झरिलो,जरिलो
जरी,झरी
झरी,जरी
जरुवा,झरुवा
झरुवा,जरुवा
जरो,झरो
झरो,जरो
जर्कटिनु,जर्खटिनु
जर्खटिनु,जर्कटिनु
जर्कटो,जर्खटो
जर्खटो,जर्कटो
जर्कट्याउनु,जर्खट्याउनु
जर्खट्याउनु,जर्कट्याउनु
जर्कनु,झर्कनु
झर्कनु,जर्कनु
जर्काइ,झर्काइ
झर्काइ,जर्काइ
जर्काउनु,झर्काउनु
झर्काउनु,जर्काउनु
जर्किनु,झर्किनु
झर्किनु,जर्किनु
जर्गा,जर्घा
जर्घा,जर्गा
जर्जर,झर्झर
झर्झर,जर्जर
जर्ता,जर्दा
जर्दा,जर्ता
जर्ना,झर्ना
झर्ना,जर्ना
जर्फर,झर्फर
झर्फर,जर्फर
जर्रा,झर्रा
झर्रा,जर्रा
जर्रिनु,झर्रिनु
झर्रिनु,जर्रिनु
जर्रो,झर्रो
झर्रो,जर्रो
जल,झल
झल,जल
जलकपुर,जलकपूर
जलकपूर,जलकपुर
जलगडा,जलघडा
जलघडा,जलगडा
जलजल,झलझल
झलझल,जलजल
जलजलाउँदो,झलझलाउँदो
झलझलाउँदो,जलजलाउँदो
जलजलाउनु,झलझलाउनु
झलझलाउनु,जलजलाउनु
जलफाइ,जलफाई
जलफाई,जलफाइ
जलमल,झलमल
झलमल,जलमल
जलविन्दु,जलबिन्दु
जलबिन्दु,जलविन्दु
जलहरी,जलारी
जलारी,जलहरी
जलाञ्जली,जलाञ्जलि
जलाञ्जलि,जलाञ्जली
जलौरा,झलौरा
झलौरा,जलौरा
जल्कनु,झल्कनु
झल्कनु,जल्कनु
जल्काउनु,झल्काउनु
झल्काउनु,जल्काउनु
जल्किनु,झल्किनु
झल्किनु,जल्किनु
जल्को,झल्को
झल्को,जल्को
जल्नु,झल्नु
झल्नु,जल्नु
जवा,झवा
झवा,जवा
जवाफसवाल,जबाफसबाल
जबाफसबाल,जवाफसवाल
जहडी,"जाडी, जाति, जाती, झाडी"
जाडी,"जहडी, जाति, जाती, झाडी"
जाति,जाती
जाती,जाति
झाडी,झारी
जहदा,झाडा
झाडा,जहदा
जहर,"जार, झार"
जार,"जहर, झार"
झार,"जहर, जार"
जहरबात,जहरवात
जहरवात,जहरबात
जहरमारा,झारमारा
झारमारा,जहरमारा
जहिले,जैले
जैले,जहिले
जहिलेसुकै,जैलेसुकै
जैलेसुकै,जहिलेसुकै
जहीँ,झैँ
झैँ,जहीँ
जाँगी,जाँघी
जाँघी,जाँगी
जाँगे,जाँघे
जाँघे,जाँगे
जाँगो,झाँगो
झाँगो,जाँगो
जाँघ,झाँग
झाँग,जाँघ
जाँजर,"झाँजर, झाँझर"
झाँजर,"जाँजर, झाँझर"
झाँझर,"जाँजर, झाँजर"
जाँठो,"जाँतो, जाँदो, झाँतो"
जाँतो,"जाँठो, जाँदो, झाँतो"
जाँदो,"जाँठो, जाँतो, झाँतो"
झाँतो,"जाँठो, जाँतो, जाँदो"
जाँड,जाँत
जाँत,जाँड
जाँडे,जाँते
जाँते,जाँडे
जाँती,जाँठी
जाँठी,जाँती
जाँप,झाँप
झाँप,जाँप
जाइ,जाई
जाई,जाइ
जाईपत्री,जाइपत्री
जाइपत्री,जाईपत्री
जाईफल,जाइफल
जाइफल,जाईफल
जाकड,जाखड
जाखड,जाकड
जाक्नु,"जाख्नु, झाक्नु"
जाख्नु,"जाक्नु, झाक्नु"
झाक्नु,"जाक्नु, जाख्नु"
जागरुक,जागरूक
जागरूक,जागरुक
जागरुकता,जागरूकता
जागरूकता,जागरुकता
जाङ,"जान, झाङ, झान"
जान,"जाङ, झाङ, झान"
झाङ,"जाङ, जान, झान"
झान,"जाङ, जान, झाङ"
जाङी,जानी
जानी,जाङी
जाजोडिया,जाजोदिया
जाजोदिया,जाजोडिया
जाट,झाट
झाट,जाट
जाठ,"जाड, जात, झाड"
जाड,"जाठ, जात, झाड"
जात,"जाठ, जाड"
झाड,"जाठ, जाड"
जाडो,"जातो, झाडो"
जातो,"जाडो, झाडो"
झाडो,"जाडो, जातो"
जाड्य,जात्य
जात्य,जाड्य
जाण्णु,"जान्नु, झान्नु"
जान्नु,"जाण्णु, झान्नु"
झान्नु,"जाण्णु, जान्नु"
जातिफल,जातीफल
जातीफल,जातिफल
जादु,झाडु
झाडु,जादु
जानअजान,जानाजान
जानाजान,जानअजान
जानबर,जानवर
जानवर,जानबर
जानिनु,"झाङिनु, झानिनु"
झाङिनु,"जानिनु, झानिनु"
झानिनु,"जानिनु, झाङिनु"
जानु,झानु
झानु,जानु
जाप,झाप
झाप,जाप
जाफत,झापड
झापड,जाफत
जाबर,झावर
झावर,जाबर
जारी,झारी
झारी,झाडी
जारो,झारो
झारो,जारो
जार्नु,झार्नु
झार्नु,जार्नु
जाल,झाल
झाल,जाल
जालपाद,झालपात
झालपात,जालपाद
जाले,झाले
झाले,जाले
जालेमाले,झालेमाले
झालेमाले,जालेमाले
जालो,झालो
झालो,जालो
जि,"जी, झी"
जी,"जि, झी"
झी,"जि, जी"
जिउ,जीउ
जीउ,जिउ
जिउधन,जीउधन
जीउधन,जिउधन
जिउपाला,जीउपाला
जीउपाला,जिउपाला
जिउपालो,जीउपालो
जीउपालो,जिउपालो
जिउमारा,जीउमारा
जीउमारा,जिउमारा
जिउसाँचा,जीउसाँचा
जीउसाँचा,जिउसाँचा
जिजी,झिजी
झिजी,जिजी
जिज्यु,जिज्यू
जिज्यू,जिज्यु
जिज्युआमा,जिज्यूआमा
जिज्यूआमा,जिज्युआमा
जिज्युबज्यै,जिज्यूबज्यै
जिज्यूबज्यै,जिज्युबज्यै
जिज्युबाजे,जिज्यूबाजे
जिज्यूबाजे,जिज्युबाजे
जिज्युबुबा,जिज्यूबुबा
जिज्यूबुबा,जिज्युबुबा
जिज्युमुमा,जिज्यूमुमा
जिज्यूमुमा,जिज्युमुमा
जिड,"जित, जीत, जिद"
जित,"जिड, जीत, जिद"
जीत,"जिड, जित, जिद"
जिद,"जिड, जित, जीत"
जित्,जिद्
जिद्,जित्
जिन,झिन
झिन,जिन
जिनो,"झिङो, झिनो, झीनो"
झिङो,"जिनो, झिनो, झीनो"
झिनो,"जिनो, झिङो, झीनो"
झीनो,"जिनो, झिङो, झिनो"
जिन्निनु,झिन्निनु
झिन्निनु,जिन्निनु
जिबणी,जीवनी
जीवनी,जिबणी
जिबा,"जिभा, जीबा, जीवा"
जिभा,"जिबा, जीबा, जीवा"
जीबा,"जिबा, जिभा, जीवा"
जीवा,"जिबा, जिभा, जीबा"
जिब्री,जिभ्री
जिभ्री,जिब्री
जिब्रे,जिभ्रे
जिभ्रे,जिब्रे
जिब्रो,जिभ्रो
जिभ्रो,जिब्रो
जिभ,"जीभ, जीव"
जीभ,"जिभ, जीव"
जीव,"जिभ, जीभ"
जिमडो,झिमडो
झिमडो,जिमडो
जिमा,झिमा
झिमा,जिमा
जिम्रनु,झिम्रनु
झिम्रनु,जिम्रनु
जिम्रिनु,झिम्रिनु
झिम्रिनु,जिम्रिनु
जिम्सिनु,झिम्सिनु
झिम्सिनु,जिम्सिनु
जिरअ,"जिरह, जिरा, जीरा"
जिरह,"जिरअ, जिरा, जीरा"
जिरा,"जिरअ, जिरह, जीरा"
जीरा,"जिरअ, जिरह, जिरा"
जिरे,"झिरे, झीरे"
झिरे,"जिरे, झीरे"
झीरे,"जिरे, झिरे"
जिरो,"झिरो, जीरो"
झिरो,"जिरो, जीरो"
जीरो,"जिरो, झिरो"
जिर्न,"जीर्ण, झिर्न"
जीर्ण,"जिर्न, झिर्न"
झिर्न,"जिर्न, जीर्ण"
जिल,"झिल, झील"
झिल,"जिल, झील"
झील,"जिल, झिल"
जिलजिल,झिलझिल
झिलझिल,जिलजिल
जिलाउनु,झिलाउनु
झिलाउनु,जिलाउनु
जिलिनु,झिलिनु
झिलिनु,जिलिनु
जिलो,झिलो
झिलो,जिलो
जिल्ल,झिल्ल
झिल्ल,जिल्ल
जिष्णु,झिस्नु
झिस्नु,जिष्णु
जिहजुरी,जीहजुरी
जीहजुरी,जिहजुरी
जुँगा,जुँघा
जुँघा,जुँगा
जुँगामुठे,जुँघामुठे
जुँघामुठे,जुँगामुठे
जुँगे,जुँघे
जुँघे,जुँगे
जुका,झुका
झुका,जुका
जुक्ती,जुक्ति
जुक्ति,जुक्ती
जुगाडी,जुगादी
जुगादी,जुगाडी
जुङ,"जुन, जून, झुङ"
जुन,जून
जून,जुन
झुङ,"जुङ, जुन, जून"
जुङा,"जुना, झुना"
जुना,"जुङा, झुना"
झुना,"जुङा, जुना"
जुज,जुझ
जुझ,जुज
जुज्नु,जुझ्नु
जुझ्नु,जुज्नु
जुट,"जूट, झुट, झूट"
जूट,"जुट, झुट, झूट"
झुट,"जुट, जूट, झूट"
झूट,"जुट, जूट, झुट"
जुठाजुठ,जुधाजुध
जुधाजुध,जुठाजुठ
जुठारी,जुतारी
जुतारी,जुठारी
जुठिनु,जुधिनु
जुधिनु,जुठिनु
जुठेल्नो,झुडेल्नो
झुडेल्नो,जुठेल्नो
जुठो,जूठो
जूठो,जुठो
जुडो,झुडो
झुडो,जुडो
जुतो,"जुदो, जुधो"
जुदो,"जुतो, जुधो"
जुधो,"जुतो, जुदो"
जुठ्याइ,जुत्याइ
जुत्याइ,जुठ्याइ
जुठ्याइनु,जुत्याइनु
जुत्याइनु,जुठ्याइनु
जुठ्याउनु,जुत्याउनु
जुत्याउनु,जुठ्याउनु
जुडाउनु,जुधाउनु
जुधाउनु,जुडाउनु
जुड्नु,जुध्नु
जुध्नु,जुड्नु
जुत्ता,झुत्ता
झुत्ता,झुट्टा
जुत्तिनु,झुत्तिनु
झुत्तिनु,जुत्तिनु
जुत्ती,झुत्ती
झुत्ती,जुत्ती
जुत्तो,झुत्तो
झुत्तो,जुत्तो
जुत्त्याइ,झुत्त्याइ
झुत्त्याइ,जुत्त्याइ
जुत्त्याउनु,झुत्त्याउनु
झुत्त्याउनु,जुत्त्याउनु
जुद्धे,झुत्ते
झुत्ते,जुद्धे
जुनी,झुणी
झुणी,जुनी
जुनेलो,झुङेलो
झुङेलो,जुनेलो
जुमा,झुमा
झुमा,जुमा
जुम्रुङ्ङ,झुम्रुङ्ङ
झुम्रुङ्ङ,जुम्रुङ्ङ
जुम्रो,झुम्रो
झुम्रो,जुम्रो
जुम्लुङ्ङ,झुम्लुङ्ङ
झुम्लुङ्ङ,जुम्लुङ्ङ
जुर,"झुर, झूर"
झुर,"जुर, झूर"
झूर,"जुर, झुर"
जुरजुर,झुरझुर
झुरझुर,जुरजुर
जुरजुरी,झुरझुरी
झुरझुरी,जुरजुरी
जुराइ,झुराइ
झुराइ,जुराइ
जुराइनु,झुराइनु
झुराइनु,जुराइनु
जुराउनु,झुराउनु
झुराउनु,जुराउनु
जुरी,झुरी
झुरी,जुरी
जुरो,झुरो
झुरो,जुरो
जुर्नु,झुर्नु
झुर्नु,जुर्नु
जुल,"झुल, झूल"
झुल,"जुल, झूल"
झूल,"जुल, झुल"
जुलाई,झुलाइ
झुलाइ,जुलाई
जुलुङ्गो,झुलुङ्गो
झुलुङ्गो,जुलुङ्गो
जुल्कनु,झुल्कनु
झुल्कनु,जुल्कनु
जुल्किनु,झुल्किनु
झुल्किनु,जुल्किनु
जुल्पी,जुल्फी
जुल्फी,जुल्पी
जुवा,जूवा
जूवा,जुवा
जुस,झुस
